season_week,season,week,contestant_id,fanFavor,pct_fan_rank,pct_judge_rank
10_1,10,1,Aiden Turner_Edyta Sliwinska_10,0.1,0.2,0.1
10_1,10,1,Buzz Aldrin_Ashly DelGrosso_10,0.3,0.3,0.0
10_1,10,1,Chad Ochocinco_Cheryl Burke_10,0.30000000000000004,0.8,0.5
10_1,10,1,Erin Andrews_Maksim Chmerkoskiy_10,-0.10000000000000009,0.7,0.8
10_1,10,1,Evan Lysacek_Anna Trebunskaya_10,-0.5,0.4,0.9
10_1,10,1,Jake Pavelka_Chelsie Hightower_10,-0.09999999999999998,0.5,0.6
10_1,10,1,Kate Gosselin_Tony Dovolani_10,0.8,1.0,0.2
10_1,10,1,Nicole Scherzinger_Derek Hough_10,-0.9,0.1,1.0
10_1,10,1,Niecy Nash_Louis van Amstel_10,0.5,0.9,0.4
10_1,10,1,Pamela Anderson_Damian Whitewood_10,-0.09999999999999998,0.6,0.7
10_1,10,1,Shannen Doherty_Mark Ballas_10,-0.3,0.0,0.3
10_10,10,10,Erin Andrews_Maksim Chmerkoskiy_10,0.0,0.5,0.5
10_10,10,10,Evan Lysacek_Anna Trebunskaya_10,0.0,0.0,0.0
10_10,10,10,Nicole Scherzinger_Derek Hough_10,0.0,1.0,1.0
10_2,10,2,Aiden Turner_Edyta Sliwinska_10,-0.09999999999999998,0.2,0.3
10_2,10,2,Buzz Aldrin_Ashly DelGrosso_10,0.1,0.1,0.0
10_2,10,2,Chad Ochocinco_Cheryl Burke_10,0.7,0.9,0.2
10_2,10,2,Erin Andrews_Maksim Chmerkoskiy_10,-0.30000000000000004,0.5,0.8
10_2,10,2,Evan Lysacek_Anna Trebunskaya_10,-0.09999999999999998,0.8,0.9
10_2,10,2,Jake Pavelka_Chelsie Hightower_10,0.09999999999999998,0.6,0.5
10_2,10,2,Kate Gosselin_Tony Dovolani_10,0.9,1.0,0.1
10_2,10,2,Nicole Scherzinger_Derek Hough_10,-0.7,0.3,1.0
10_2,10,2,Niecy Nash_Louis van Amstel_10,-0.19999999999999996,0.4,0.6
10_2,10,2,Pamela Anderson_Damian Whitewood_10,0.0,0.7,0.7
10_2,10,2,Shannen Doherty_Mark Ballas_10,-0.4,0.0,0.4
10_3,10,3,Aiden Turner_Edyta Sliwinska_10,-0.2222222222222222,0.1111111111111111,0.3333333333333333
10_3,10,3,Buzz Aldrin_Ashly DelGrosso_10,0.0,0.0,0.0
10_3,10,3,Chad Ochocinco_Cheryl Burke_10,0.7777777777777778,1.0,0.2222222222222222
10_3,10,3,Erin Andrews_Maksim Chmerkoskiy_10,-0.33333333333333326,0.5555555555555556,0.8888888888888888
10_3,10,3,Evan Lysacek_Anna Trebunskaya_10,-0.7777777777777778,0.2222222222222222,1.0
10_3,10,3,Jake Pavelka_Chelsie Hightower_10,-0.2222222222222222,0.4444444444444444,0.6666666666666666
10_3,10,3,Kate Gosselin_Tony Dovolani_10,0.2222222222222222,0.3333333333333333,0.1111111111111111
10_3,10,3,Nicole Scherzinger_Derek Hough_10,-0.11111111111111116,0.6666666666666666,0.7777777777777778
10_3,10,3,Niecy Nash_Louis van Amstel_10,0.2222222222222222,0.7777777777777778,0.5555555555555556
10_3,10,3,Pamela Anderson_Damian Whitewood_10,0.4444444444444444,0.8888888888888888,0.4444444444444444
10_4,10,4,Aiden Turner_Edyta Sliwinska_10,-0.125,0.0,0.125
10_4,10,4,Chad Ochocinco_Cheryl Burke_10,0.125,0.75,0.625
10_4,10,4,Erin Andrews_Maksim Chmerkoskiy_10,0.375,0.875,0.5
10_4,10,4,Evan Lysacek_Anna Trebunskaya_10,-0.625,0.375,1.0
10_4,10,4,Jake Pavelka_Chelsie Hightower_10,0.25,0.625,0.375
10_4,10,4,Kate Gosselin_Tony Dovolani_10,0.125,0.125,0.0
10_4,10,4,Nicole Scherzinger_Derek Hough_10,-0.375,0.5,0.875
10_4,10,4,Niecy Nash_Louis van Amstel_10,0.75,1.0,0.25
10_4,10,4,Pamela Anderson_Damian Whitewood_10,-0.5,0.25,0.75
10_5,10,5,Chad Ochocinco_Cheryl Burke_10,0.5714285714285714,0.8571428571428571,0.2857142857142857
10_5,10,5,Erin Andrews_Maksim Chmerkoskiy_10,0.4285714285714286,1.0,0.5714285714285714
10_5,10,5,Evan Lysacek_Anna Trebunskaya_10,-0.42857142857142855,0.42857142857142855,0.8571428571428571
10_5,10,5,Jake Pavelka_Chelsie Hightower_10,0.0,0.7142857142857143,0.7142857142857143
10_5,10,5,Kate Gosselin_Tony Dovolani_10,0.0,0.0,0.0
10_5,10,5,Nicole Scherzinger_Derek Hough_10,-0.8571428571428572,0.14285714285714285,1.0
10_5,10,5,Niecy Nash_Louis van Amstel_10,0.42857142857142855,0.5714285714285714,0.14285714285714285
10_5,10,5,Pamela Anderson_Damian Whitewood_10,-0.14285714285714285,0.2857142857142857,0.42857142857142855
10_6,10,6,Chad Ochocinco_Cheryl Burke_10,0.16666666666666674,0.8333333333333334,0.6666666666666666
10_6,10,6,Erin Andrews_Maksim Chmerkoskiy_10,-0.16666666666666674,0.6666666666666666,0.8333333333333334
10_6,10,6,Evan Lysacek_Anna Trebunskaya_10,0.6666666666666667,1.0,0.3333333333333333
10_6,10,6,Jake Pavelka_Chelsie Hightower_10,0.3333333333333333,0.3333333333333333,0.0
10_6,10,6,Nicole Scherzinger_Derek Hough_10,-0.5,0.5,1.0
10_6,10,6,Niecy Nash_Louis van Amstel_10,0.0,0.16666666666666666,0.16666666666666666
10_6,10,6,Pamela Anderson_Damian Whitewood_10,-0.5,0.0,0.5
10_7,10,7,Chad Ochocinco_Cheryl Burke_10,0.20000000000000007,0.8,0.6
10_7,10,7,Erin Andrews_Maksim Chmerkoskiy_10,0.6,1.0,0.4
10_7,10,7,Evan Lysacek_Anna Trebunskaya_10,-0.6,0.4,1.0
